Code,Lat,Lon,City,State
AUI,39.83,117.13,Austin,NV
U31,39.5,117.08,Austin,NV
BAM,40.62,116.87,BattleMtn,NV
P38,37.62,114.52,Caliente,NV
EKO,40.83,115.78,Elko,NV
ELY,39.28,114.85,Ely/Yelland,NV
P68,39.5,115.97,Eureka,NV
NFL,39.42,118.7,FallonNAS,NV
HTH,38.55,118.63,Hawthorne,NV
L63,36.53,115.57,IndSprngRn,NV
L76,36.57,115.67,IndSprngRn,NV
LAS,36.08,115.17,LasVegas,NV
LOL,40.1,118.92,Lovelock,NV
DRA,36.62,116.02,Mercury,NV
LSV,36.23,115.03,NellisAFB,NV
OWY,42.58,116.17,Owyhee,NV
RNO,39.5,119.78,Reno,NV
TPH,38.07,117.08,Tonopah,NV
AWH,41.33,116.25,Wildhorse,NV
WMC,40.9,117.8,Winnemucca,NV
UCC,37.58,116.08,YuccaFlat,NV
